Id,No_REG,event_date,Y,Season,Y-M,cod_mun,Dep,Prov,Mun,Comun,N_comun,p_afect,f_afect,Hec_agr,N_cattle,days,POBLACION,MacroRegID,MacroReg
"165",2002-00167,14/03/2002,"2002",MAM,mar-02,"30201",Cochabamba,Narciso Campero,Aiquile,Varias comunidades,"-1","6660","1332",0,0,NaN,23267,"2",Valles
"166",2002-00168,14/03/2002,"2002",MAM,mar-02,"31303",Cochabamba,Mizque,Alalay,Varias comunidades,"-1","5735","1147",0,0,NaN,3447,"2",Valles
"167",2002-00169,14/03/2002,"2002",MAM,mar-02,"30402",Cochabamba,Esteban Arce,Anzaldo,"San José, Quiriria, Wijini, H. Mayu Alto, H. Mayu Bajo, Villa Carmen, Waychapa y Llavini Alto","8","1495","299",0,0,NaN,7192,"2",Valles
"168",2002-00170,14/03/2002,"2002",MAM,mar-02,"30403",Cochabamba,Esteban Arce,Arbieto,"Rayo Pampa, Caluyo, Copapuyo, Copapuyo, T. Canelas","5","2435","487",0,0,NaN,17445,"2",Valles
"169",2002-00171,14/03/2002,"2002",MAM,mar-02,"30601",Cochabamba,Arque,Arque,Varias comunidades,"-1","8725","1745",0,0,NaN,10597,"2",Valles
"170",2002-00172,14/03/2002,"2002",MAM,mar-02,"31501",Cochabamba,Bolivar,Bolivar,Varias comunidades,"-1","10000","2000",0,0,NaN,7279,"7",Altiplano
"171",2002-00173,14/03/2002,"2002",MAM,mar-02,"31301",Cochabamba,Mizque,Mizque,Varias comunidades,"-1","13405","2681",0,0,NaN,26900,"2",Valles
"172",2002-00174,14/03/2002,"2002",MAM,mar-02,"30203",Cochabamba,Narciso Campero,Omereque,Varias comunidades,"-1","3865","773",0,0,NaN,5643,"2",Valles
"173",2002-00175,14/03/2002,"2002",MAM,mar-02,"30202",Cochabamba,Narciso Campero,Pasorapa,Varias comunidades,"-1","7675","1535",0,0,NaN,6853,"2",Valles
"174",2002-00176,14/03/2002,"2002",MAM,mar-02,"31203",Cochabamba,Carrasco,Pocona,Varias comunidades,"-1","1515","303",0,0,NaN,10750,"2",Valles
"175",2002-00177,14/03/2002,"2002",MAM,mar-02,"31202",Cochabamba,Carrasco,Pojo,Varias comunidades,"-1","1380","276",0,0,NaN,10156,"2",Valles
"176",2002-00178,14/03/2002,"2002",MAM,mar-02,"30404",Cochabamba,Esteban Arce,Sacabamba,Sacabamba,"1","570","114",0,0,NaN,4366,"2",Valles
"177",2002-00179,14/03/2002,"2002",MAM,mar-02,"31403",Cochabamba,Punata,San Benito,"Lag. Centro, San Benito, Urey Rancho y Lobo R. Norte","4","1250","250",0,0,NaN,13562,"2",Valles
"178",2002-00180,14/03/2002,"2002",MAM,mar-02,"30902",Cochabamba,Quillacollo,Sipe Sipe,"Achumani, Chapiloma, Achuraya, Palli Palli, Vaqueria, Tamaka","6","940","188",0,0,NaN,41571,"2",Valles
"179",2002-00181,14/03/2002,"2002",MAM,mar-02,"30602",Cochabamba,Arque,Tacopaya,Varias comunidades,"-1","9270","1854",0,0,NaN,10253,"7",Altiplano
"180",2002-00182,14/03/2002,"2002",MAM,mar-02,"31101",Cochabamba,Tapacari,Tapacari,Varias comunidades,"-1","18000","3600",0,0,NaN,24625,"2",Valles
"181",2002-00183,14/03/2002,"2002",MAM,mar-02,"30401",Cochabamba,Esteban Arce,Tarata,Tarata,"1","60","12",0,0,NaN,8242,"2",Valles
"182",2002-00184,14/03/2002,"2002",MAM,mar-02,"31201",Cochabamba,Carrasco,Totora,Varias comunidades,"-1","930","186",0,0,NaN,14665,"2",Valles
"183",2002-00185,14/03/2002,"2002",MAM,mar-02,"30502",Cochabamba,Arani,Vacas,"Intinuyo, Juntutuyu, Yanatama, Wacapata, Kocha Chimpa, Acero Kocha, Wayrapata, Vacas y Misukani","9","2060","412",0,0,NaN,8940,"2",Valles
"184",2002-00186,14/03/2002,"2002",MAM,mar-02,"31302",Cochabamba,Mizque,Vila Vila,Varias comunidades,"-1","5150","1030",0,0,NaN,5459,"2",Valles
"190",2002-00192,16/03/2002,"2002",MAM,mar-02,"10103",Chuquisaca,Oropeza,Poroma,Toco Cala,"1","190","38",0,0,NaN,17377,"2",Valles
"192",2002-00194,17/03/2002,"2002",MAM,mar-02,"40901",Oruro,Atahuallpa Sabaya,Sabaya,Pacocahua,"1","205","41",0,0,NaN,8018,"7",Altiplano
"199",2002-00201,17/03/2002,"2002",MAM,mar-02,"51202",Potosi,Antonio Quijarro,Tomave,Río Ingenio y Taro,"2","560","112",0,0,NaN,14789,"7",Altiplano
"214",2002-00216,21/03/2002,"2002",MAM,mar-02,"10702",Chuquisaca,Nor Cinti,San Lucas,Japo,"1","275","55",0,0,NaN,32520,"2",Valles
"220",2002-00222,22/03/2002,"2002",MAM,mar-02,"10202",Chuquisaca,Azurduy,Tarvita,Pampa Grande,"1","300","60",0,0,NaN,14261,"2",Valles
"224",2002-00226,24/03/2002,"2002",MAM,mar-02,"10201",Chuquisaca,Azurduy,Azurduy,S. J. de Alizos,"1","325","65",0,0,NaN,10652,"2",Valles
"226",2002-00228,25/03/2002,"2002",MAM,mar-02,"10101",Chuquisaca,Oropeza,Sucre,"Maragua, Chaunaca","2","505","101",0,0,NaN,261201,"2",Valles
"236",2002-00238,26/03/2002,"2002",MAM,mar-02,"30701",Cochabamba,Capinota,Capinota,"Tocohalla, Cala Caja, Maracvi, Tipani, Arrumani, Salto, Corral Mayu, Corata Norte, M. Marca, Siquivirani, Corneliz, Challaje, Pusajpusa y Cuturupa","14","1290","258",0,0,NaN,19477,"2",Valles
"237",2002-00239,26/03/2002,"2002",MAM,mar-02,"30902",Cochabamba,Quillacollo,Sipe Sipe,"Itapaya, Palanca Corrj., Kollpa, San Isidro, Milloma, Tutupaya","6","2185","437",0,0,NaN,41571,"2",Valles
"238",2002-00240,26/03/2002,"2002",MAM,mar-02,"31404",Cochabamba,Punata,Tacachi,Tacachi,"1","500","100",0,0,NaN,1303,"2",Valles
"239",2002-00241,26/03/2002,"2002",MAM,mar-02,"31402",Cochabamba,Punata,Villa Rivero,Villa Rivero,"1","880","176",0,0,NaN,8135,"2",Valles
"257",2002-00259,04/04/2002,"2002",MAM,apr-02,"50303",Potosi,Cornelio Saavedra,Tacobamba,Quebrada,"1","250","50",0,0,NaN,11835,"2",Valles
"261",2002-00263,10/04/2002,"2002",MAM,apr-02,"10103",Chuquisaca,Oropeza,Poroma,Poroma,"1","190","38",0,0,NaN,17377,"2",Valles
