code,start,end,dens,GamP1_01,GamP2_01,P0_01,GamP1_02,GamP2_02,P0_02,GamP1_03,GamP2_03,P0_03,GamP1_04,GamP2_04,P0_04,GamP1_05,GamP2_05,P0_05,GamP1_06,GamP2_06,P0_06,GamP1_07,GamP2_07,P0_07,GamP1_08,GamP2_08,P0_08,GamP1_09,GamP2_09,P0_09,GamP1_10,GamP2_10,P0_10,GamP1_11,GamP2_11,P0_11,GamP1_12,GamP2_12,P0_12
07026,1970,2019,0.992735277930655,1.9296259612317717,81.13369671943431,0.0,4.426096316802876,30.51639163188236,0.0,3.527443185377203,37.91094669826991,0.0,3.3094075881873963,27.20875968073748,0.0,1.9218724162577467,40.20946980962707,0.0,1.7866098127332042,23.84689275125729,0.040000000000000036,0.7721949945602448,35.14338539807654,0.040000000000000036,0.9335348870391768,37.026927391899115,0.09999999999999998,1.71033245829567,31.176977763226446,0.09999999999999998,3.223138653647336,32.026711304139305,0.0,3.118687209415645,43.99562744504906,0.0,2.8496590307337657,50.56842548366698,0.0
07028,1970,2019,0.9792515134837645,4.061616375196738,44.75924496067726,0.0,4.107092572691463,45.60377300788878,0.0,2.517799703558722,53.56489983486615,0.0,1.8084398523550675,41.9016899530761,0.0,1.5541680622765581,31.320678209147093,0.0,1.2799060249080076,23.76536927330042,0.18000000000000005,0.7347185803833357,25.310781681990154,0.26,1.345987706349282,21.72514559927666,0.18367346938775508,1.3069165750885396,40.033580235213556,0.07999999999999996,2.7115323099845035,29.092002979488644,0.0,3.324094056111074,36.86008353632026,0.0,5.388561259101686,30.04595954446211,0.0
07029,1970,2019,0.9881122729774353,9.29381912838532,23.438825696458363,0.0,5.05760321678627,36.39302618631749,0.0,3.9748821822912617,42.285786228752585,0.0,2.162681287377731,52.243487614894235,0.0,1.508287750635493,53.36369174705282,0.0,1.3937469817577364,37.09081185869498,0.09999999999999998,1.1090051371428236,27.757064858057223,0.14,1.329855204300863,34.12064327319084,0.07999999999999996,1.4491522770128897,50.25411003570949,0.020000000000000018,2.9869157449575545,32.924856537012104,0.020408163265306145,4.571222447345265,33.542222929579644,0.0,3.634202459578618,53.710577198173475,0.0
07039,1970,2019,0.9932532499588613,3.172237976618454,62.39288853327923,0.0,2.9193847635909305,53.953985924999984,0.0,4.4519271693655025,31.399388435214068,0.0,2.7532601867407274,42.25698385668914,0.0,1.577918103639852,67.4121593644793,0.0,1.6132883752092961,49.40852813824536,0.020000000000000018,0.8652722834437953,68.59021153364841,0.0,1.1522018860167413,43.36458958377015,0.020000000000000018,1.6107342809465084,46.607658922132565,0.020000000000000018,1.8948411576831616,58.165098706753874,0.0,4.112280722325021,37.80266423525189,0.0,4.8602251097672085,37.74155025141431,0.0
07040,1970,2019,0.9718767198679141,4.285758155641682,35.44824554533536,0.0,4.017063720027825,34.22386154375594,0.0,3.1581385712897974,38.208543475777496,0.0,1.878436776461774,36.84646480156594,0.0,2.062300883685232,10.901073017451175,0.0,1.493373310808939,8.438747991498232,0.04081632653061229,0.6334963107981795,15.201803580215547,0.10204081632653061,0.6472225736229573,12.283526197323125,0.22448979591836737,0.6225227161929261,33.316921349730386,0.10416666666666663,1.8889523776469612,19.31490634116516,0.02083333333333337,3.0235987386539214,20.448778909045245,0.0,3.631962262437911,41.22600481381086,0.0
07042,1970,2019,0.9802421574023115,3.5204495894134795,51.27319814719816,0.0,6.489185473478169,22.911645496833266,0.0,2.5505530021119593,55.8931769297349,0.0,1.4872833769812828,42.48862776391023,0.020000000000000018,0.9373407077137109,67.76688399543227,0.020000000000000018,1.8824904607396433,20.000951602502568,0.24,0.42065087881892527,65.059033634656,0.24,1.2657653463234797,29.22117715086736,0.19999999999999996,2.0091948603368106,26.809620851354598,0.08163265306122447,3.697409268612399,23.908052522428985,0.020408163265306145,3.8077137391427716,31.57357291514436,0.0,3.3935653923769316,39.5910928663107,0.0
07043,1984,2019,0.9938492681407661,4.373277327286672,43.613456733359335,0.0,5.2001084220929705,33.25805706487453,0.0,3.885697093478565,36.196165050895054,0.0,2.1556571802819917,54.11098301297637,0.0,1.8004679247921462,52.62965182283892,0.0,1.856040806899649,39.4588420809944,0.02857142857142858,0.752320376128534,82.95087277765936,0.02857142857142858,0.9674617758651873,42.998031982970105,0.02777777777777779,2.1136376490588815,33.93874333046869,0.0,2.902944584932189,31.679849408075633,0.0,3.017020348343957,43.32656984859036,0.0,3.133979821988569,60.32084584563089,0.0
08003,1970,2019,0.9840118674798088,9.057054941065216,27.907496970931017,0.0,6.128671179156848,42.04346271299013,0.0,6.581819009781711,35.513880431222255,0.0,6.343205356681559,19.925144216289173,0.0,1.9909178228761788,30.6695582375828,0.0,0.9943369588728402,23.26311931175331,0.18367346938775508,0.8095139139043485,26.342792602545522,0.19999999999999996,1.47420135329646,23.974004648193983,0.26,2.0093555728744983,31.56176564640572,0.020000000000000018,4.464605293413049,27.71029026452411,0.0,6.495869127561938,29.900888883226507,0.0,10.904769488580937,20.771926887477463,0.0
08006,1970,2019,0.9660458216581507,4.730346498963201,60.86409515768275,0.0,6.512823994625,40.69477146637791,0.0,5.072981145426516,38.86265518147223,0.0,4.085641031546477,32.86387161275175,0.0,1.9510282751766839,37.29441066457858,0.020408163265306145,1.0346547084136797,29.369166546243136,0.12244897959183676,1.1784286622147344,25.974865297998853,0.16000000000000003,1.2281652457149894,28.205573061546534,0.12765957446808507,1.6106703485552818,51.59011155123726,0.0,3.700375603770429,35.075103448016804,0.0,5.4302277605984415,38.23972394228764,0.0,5.651371544527764,40.291810800400484,0.0
08007,1970,2019,0.9906598538541839,7.4591838424641566,40.89460132202837,0.0,4.786106740332567,54.397941505011964,0.0,4.1669542102055575,54.213368044444685,0.0,4.008863679223631,30.07668075780144,0.0,1.6349166969433637,64.2886647929891,0.0,1.3127555418169534,39.68906344587581,0.06000000000000005,1.3780612195619877,28.07441197915303,0.07999999999999996,1.0012839911107565,44.13644975822597,0.06000000000000005,1.5570656356227803,63.62854101236766,0.020408163265306145,4.081912327211852,32.672095067402786,0.0,4.646223970204673,46.366876654746164,0.0,6.6726172456225665,42.77682437961338,0.0
